,game_id,review,review_score,last_timestamp,playtime_at_review,full_playtime
10,10,best game,2,2023-08-30 10:00:10,370128,370844
11,10,"You can't hate this game, its just amazing :D",1,2023-08-29 21:20:51,494,757
12,10,og game,1,2023-08-28 14:00:28,24229,24327
13,10,god games,1,2023-08-27 16:31:25,1035,1684
14,10,Nice game,1,2023-08-23 06:31:24,5529,5724
15,10,Really nice game :),1,2023-08-15 21:04:43,10619,10619
16,10,"Imagine life
Imagine life without me, it's a waste of time
You want the kind of love that can make a child
Don't want just anybody (not just anybody, not just anybody)
Ooh
Good love fills my body up like a glass
When you pour it all out
If you know me, you know I mind
Someone like me is hard to find
Not mistaken if I'm there
Well aware you are always mine
And still you seem so surprised
Always gon' be mine
I wanna be where you are
I just can't walk away
You drive me crazy, ah
I lose it, lose it
And I wanna be where you are
I just can't walk away
You drive me crazy, ah
I lose it, lose it
Imagine me
Circlin' through life without a piece of you
Seven out of seven days I'm needin' you
You brin' life to the party
Good love feels like butterflies suffocatin' your insides
Oh, it's a late night, you know I try
I cannot picture when you ride
I'm mistaken thinkin' you were taken
Knownin' now, you were always mine
And still I feel so surprised
You're always gon' be mine
Rarely ever missin', talk is cheap and time is tickin'
Rarely ever trickin', catch me slippin', I put you on leakin'
I'm on mission, payin' millions, I'm Ted DiBiase (God)
Out late night, I'm sinnin', still a Christian, don't tell my Deacon
I mean pastor, oil her down, not talkin' castor
Ridin' 'round with six-seven bitches with no tint, you can see I'm pimpin'
Big four-five on my hip, look like I'm limpin', never simpin'
One of my cousins Crippin', always grippin', shit get dangerous
Always keep it player, we can swap out hoes, I'm never trippin'
Only love my mother, my sister, my daughter
All these hoes get slaughtered
They can't be mine, pray to the holy father",3,2023-08-15 09:05:25,272,341
17,10,"Here I will leave the cat, people who pass by can pet it and give it a thumbs up

　　　    　　＞　　フ
　　　　　| 　_　 _ l
　 　　　／` ミ＿xノ
　　 　 /　　　 　 |
　　　 /　 ヽ　　 ﾉ
　 　 │　　|　|　|
　／￣|　　 |　|　|
　| (￣ヽ＿_ヽ_)__)
　＼二つ",1,2023-08-14 17:44:26,47,47
18,10,CS > CoD,1,2023-08-14 14:15:08,2408,2440
19,10,"walk with alt
",1,2023-08-09 04:29:53,1615,1628
20,10,nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,1,2023-09-03 21:32:27,7,7
21,10,Counter-Strike,1,2023-08-06 22:32:40,11,11
22,10,"One of the most admirable aspects of Counter-Strike is its focus on skill and strategy over flashy gimmicks. The game's gunplay is remarkably satisfying, rewarding players who can master the intricacies of recoil control, weapon selection, and aiming precision. Each match is a test of skill and teamwork, creating a sense of satisfaction when you pull off a well-coordinated attack or a clutch round win.

The maps in Counter-Strike are masterfully crafted. From the tight corridors of Dust II to the more open spaces of Nuke, every map has a distinct design that encourages different playstyles and strategies. Map control, communication, and tactical positioning play a pivotal role, ensuring that each match feels unique and dynamic.

Counter-Strike's emphasis on teamwork and communication is truly special. Whether you're defusing a bomb as a counter-terrorist or planting it as a terrorist, success requires coordination and cooperation with your teammates. The reliance on callouts, strategies, and well-executed plans fosters a sense of camaraderie that few other games can replicate.

Despite its simplicity in terms of graphics and mechanics, Counter-Strike has a universal appeal. The game's accessibility makes it easy for new players to jump in, while its depth keeps veterans engaged and continuously improving. This balance ensures that Counter-Strike remains a staple in the gaming world, drawing in players of all skill levels.

The modding community surrounding Counter-Strike is a testament to the game's enduring impact. The creation of new maps, game modes, and skins ensures that the game constantly evolves and remains fresh, even after all these years. This community-driven content extends the lifespan of the game and adds an extra layer of enjoyment.

In an era of constantly evolving gaming trends, Counter-Strike stands as a timeless classic that has defined the competitive FPS genre. Its focus on skill, strategy, and teamwork, coupled with its accessible yet deep mechanics, ensures that Counter-Strike remains a benchmark for excellence in the world of gaming. Whether you're a newcomer or a long-time fan, Counter-Strike offers an experience that continues to shine brightly.",1,2023-08-28 00:49:39,13301,13301
23,10,"Can't get through the door man, can't make it can't make it",1,2023-08-11 16:36:21,490,490
24,10,"remember playing this on school pc's, kept getting brutality slaughtered by some dude playing russian dubstep on his mic",1,2023-08-29 15:05:45,11,11
25,10,"immersing myself in an old game like a relic from the past was a nostalgic journey. The simplicity of graphics and mechanics transported me back to a time when good graphics were not a thing in gaming industry i didnt had a pc so whenever i visited my brother i used to see him play and i enjoyed that more than he did....XD got it as a part of Valve bundle 
",1,2023-08-20 09:41:58,14,14
26,10,Old ass game,2,2023-08-18 03:16:16,20,20
27,10,not as good as garfield kart,1,2023-08-11 17:32:15,169,169
